MAIN.PRIVATE_GAME	非公開マルチプレイヤー
MAIN.PUBLIC_GAME	公開マルチプレイヤー
MAIN.JOIN_FRIEND	フレンドのゲームに参加
MAIN.SINGLEPLAYER	シングルプレイヤー
MAIN.TUTORIAL	チュートリアル
MAIN.SETTINGS	設定
MAIN.QUIT_GAME	ゲームを終了する
POPUP.PRIVATE_GAME.HEADER	ゲームをホストする
POPUP.PRIVATE_GAME.BODY	フレンド内で一番高性能PCの人が\nホストに適しています。\n\nあなたがベストですか？
POPUP.PRIVATE_GAME.OPT1	ああもちろん！ :)
POPUP.PRIVATE_GAME.OPT2	違います...  :'(
POPUP.PUBLIC_GAME.HEADER	警告
POPUP.PUBLIC_GAME.BODY	ランダムな相手とプレイすると\nチーターや意地悪な人と\n遭遇する可能性があります...
POPUP.PUBLIC_GAME.OPT1	わかった
POPUP.PUBLIC_GAME.OPT2	やめておく :(
POPUP.QUIT_GAME.HEADER	ゲームを終了する
POPUP.QUIT_GAME.BODY	ゲームを終了しますか？
POPUP.QUIT_GAME.OPT1	はい
POPUP.QUIT_GAME.OPT2	いいえ
POPUP.SELF_DESTRUCT.HEADER	自爆
POPUP.SELF_DESTRUCT.BODY	本当にやるんですか？
POPUP.SELF_DESTRUCT.OPT1	自分はもう駄目だ
POPUP.SELF_DESTRUCT.OPT2	いいえ
SAVES.GO_BACK	< 戻る
SAVES.NEW_GAME	新規ゲーム
SAVES.SINGLEPLAYER_MODE	シングルプレイヤーモード
SAVES.MULTIPLAYER_MODE	マルチプレイヤーモード
SAVES.HEADER	セーブされたゲーム
SAVES.PAGE_INFO.HEADER	セーブされたゲーム
SAVES.PAGE_INFO.DESCRIPTION	今まで楽しんだ内容が記録されており、\n前回やめた所から再開できます。 
SAVES.SAVE_INFO.DELETE_SAVE	セーブデータ削除
SAVES.SAVE_INFO.LOAD_SAVE	セーブデータをロード
SAVES.SAVE_INFO.USE_BACKUP	バックアップを使用
SAVES.SAVE_INFO.CURRENT_MOON	現在の月相:
POPUP.MAIN_MENU.OPT1	はい
POPUP.MAIN_MENU.BODY	メインメニューに\n戻りますか？
POPUP.MAIN_MENU.HEADER	メインメニュー
SAVES.SAVE_INFO.TOTAL_HAUL	総収益:
POPUP.LOAD_SAVE.HEADER	セーブデータをロード
POPUP.LOAD_SAVE.BODY	このセーブデータを\nロードしますか？
POPUP.LOAD_SAVE.OPT1	はい！
POPUP.LOAD_SAVE.OPT2	いいえ
POPUP.DELETE_SAVE.HEADER	セーブデータを削除
POPUP.DELETE_SAVE.BODY	このセーブデータを\n本当に本気で完全に永遠に\n削除するんですか？
POPUP.DELETE_SAVE.OPT1	はい！ :')
POPUP.DELETE_SAVE.OPT2	いいえ...
POPUP.USE_BACKUP.HEADER	バックアップから復旧
POPUP.USE_BACKUP.BODY	このセーブデータを\n最新のバックアップファイルで\n上書きしますか？\n\nこの操作は取り消せません！
POPUP.USE_BACKUP.OPT1	はい！
POPUP.USE_BACKUP.OPT2	いいえ
REGIONS.HEADER	地域
REGIONS.BACK	戻る
REGIONS.REGION.PICK_BEST_REGION	最適な地域を選択
REGIONS.REGION.ASIA	アジア
REGIONS.REGION.AU	オーストラリア
REGIONS.REGION.CAE	東カナダ
REGIONS.REGION.CN	中国本土
REGIONS.REGION.EU	ヨーロッパ
REGIONS.REGION.HK	香港
REGIONS.REGION.IN	インド
REGIONS.REGION.JP	日本
REGIONS.REGION.ZA	南アフリカ
REGIONS.REGION.SA	南米
REGIONS.REGION.KR	韓国
REGIONS.REGION.TR	トルコ
REGIONS.REGION.UAE	アラブ首長国連邦
REGIONS.REGION.US	アメリカ東部
REGIONS.REGION.USW	アメリカ西部
REGIONS.REGION.USSC	アメリカ南中部
SAVES.SAVE_INFO.SORRY	ごめんなさい！
SAVES.SAVE_INFO.PRESS_DELETE	「セーブデータを削除」を押すと\nセーブファイルを完全に削除します。
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   ,   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	破損したセーブファイル
SAVES.SAVE_FILE.UH_OH	なんてこった！
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	破損したセーブファイル
SAVES_RENAME.RENAME_SAVE	セーブ名を変更
SAVES_RENAME.BACK	戻る
SAVES_RENAME.CONFIRM	決定
SAVES.SAVE_INFO.CLICK_TO_RENAME	(クリックで名前変更)
SETTINGS.HEADER	設定
SETTINGS.GAMEPLAY	ゲームプレイ
SETTINGS.GRAPHICS	グラフィック
SETTINGS.AUDIO	音声
SETTINGS.CONTROLS	操作
SETTINGS.LANGUAGE	言語
SETTINGS.BACK	戻る
SETTINGS.BOOL.ON	オン
SETTINGS.BOOL.OFF	オフ
SETTINGS.BOOL.TOGGLE	切り替え
SETTINGS.BOOL.HOLD	長押し
SETTINGS.GAMEPLAY.HEADER	ゲームプレイ
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	デフォルト設定にリセット
SETTINGS.GAMEPLAY.TIPS	ヒント表示
SETTINGS.GAMEPLAY.PLAYER_NAMES	プレイヤー名表示
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	光過敏症対策
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	クモ恐怖症対策
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	エイム感度
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	カメラスムージング
SETTINGS.GAMEPLAY.CAMERA_SHAKE	カメラ振動
SETTINGS.GAMEPLAY.CAMERA_NOISE	カメラノイズ
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	カメラアニメーション
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	エイム上下反転
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	装備アイテムの自動掴み
SETTINGS.GAMEPLAY.RICH_PRESENCE	Steamフレンドに情報表示
SETTINGS.GAMEPLAY.COSMETICS	コズメティック
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	デフォルト設定にリセット
SETTINGS.GRAPHICS.WINDOW_MODE	ウィンドウモード
SETTINGS.GRAPHICS.VSYNC	垂直同期
SETTINGS.GRAPHICS.GAMMA	ガンマ値
SETTINGS.GRAPHICS.MAX_FPS	最大フレームレート
SETTINGS.GRAPHICS.LIGHT_DISTANCE	光源表示距離
SETTINGS.GRAPHICS.SHADOW_QUALITY	影品質
SETTINGS.GRAPHICS.SHADOW_DISTANCE	影表示距離
SETTINGS.GRAPHICS.MOTION_BLUR	モーションブラー
SETTINGS.GRAPHICS.LENS_DISTORTION	レンズ歪み
SETTINGS.GRAPHICS.BLOOM	ブルーム
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	色収差
SETTINGS.GRAPHICS.GRAIN	フィルム粒子
SETTINGS.GRAPHICS.GLITCH_LOOP	アナログ映像ノイズ
SETTINGS.GRAPHICS.PIXELATION	ピクセル化
SETTINGS.AUDIO.HEADER	音声
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	デフォルト設定にリセット
SETTINGS.AUDIO.MASTER_VOLUME	マスター音量
SETTINGS.AUDIO.MUSIC_VOLUME	BGM音量
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	ボイスチャット音量
SETTINGS.AUDIO.MICROPHONE	マイク
SETTINGS.AUDIO.MICROPHONE_VOLUME	マイク音量
SETTINGS.AUDIO.PUSH_TO_TALK	プッシュトゥトーク
SETTINGS.CONTROLS.HEADER	操作
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	デフォルト設定にリセット
SETTINGS.CONTROLS.MOVEMENT	移動
SETTINGS.CONTROLS.MOVE_FORWARD	前
SETTINGS.CONTROLS.MOVE_LEFT	左
SETTINGS.CONTROLS.MOVE_BACK	後
SETTINGS.CONTROLS.MOVE_RIGHT	右
SETTINGS.CONTROLS.JUMP	ジャンプ
SETTINGS.CONTROLS.CROUCH	しゃがむ
SETTINGS.CONTROLS.SPRINT	ダッシュ
SETTINGS.CONTROLS.TUMBLE	転がる
SETTINGS.CONTROLS.GRABBING	掴み中操作
SETTINGS.CONTROLS.GRAB	掴む
SETTINGS.CONTROLS.ROTATE	回転
SETTINGS.CONTROLS.PUSH	遠くへ
SETTINGS.CONTROLS.PULL	近くへ
SETTINGS.CONTROLS.OTHER	その他
SETTINGS.CONTROLS.MAP	マップ
SETTINGS.CONTROLS.INTERACT	使用
SETTINGS.CONTROLS.INVENTORY_1	インベントリ1
SETTINGS.CONTROLS.INVENTORY_2	インベントリ2
SETTINGS.CONTROLS.INVENTORY_3	インベントリ3
SETTINGS.CONTROLS.CHAT	チャット
SETTINGS.CONTROLS.CONFIRM	決定
SETTINGS.CONTROLS.BACK	戻る
SETTINGS.CONTROLS.MENU	メニュー
SETTINGS.CONTROLS.SPECTATE_NEXT	次の人を観戦
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	前の人を観戦
SETTINGS.CONTROLS.PUSH_TO_TALK	プッシュトゥトーク
SETTINGS.CONTROLS.TOGGLE_MUTE	ミュート切り替え
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	エモート
SETTINGS.LANGUAGE.HEADER	言語
COSMETICS.CATEGORY.PRESETS	プリセット
COSMETICS.CATEGORY.HEAD	頭
COSMETICS.CATEGORY.ARMS	腕
COSMETICS.CATEGORY.BODY	体
COSMETICS.CATEGORY.LEGS	脚
COSMETICS.CONFIRM	決定
COSMETICS.COLOR.HEADER	色を選択
COSMETICS.COLOR.CONFIRM	決定
COSMETICS.PRESET.DELETE	削除
COSMETICS.TYPE.HAT	帽子
COSMETICS.TYPE.ARM_RIGHT	右腕 服
COSMETICS.TYPE.ARM_LEFT	左腕 服
COSMETICS.TYPE.LEG_RIGHT	右脚 服
COSMETICS.TYPE.LEG_LEFT	左脚 服
COSMETICS.TYPE.HEAD_TOP_MESH	頭 上部
COSMETICS.TYPE.HEAD_BOTTOM_MESH	頭 下部
COSMETICS.TYPE.BODY_TOP_MESH	胴体 上部
COSMETICS.TYPE.BODY_BOTTOM_MESH	胴体 下部
COSMETICS.TYPE.ARM_RIGHT_MESH	右腕
COSMETICS.TYPE.ARM_LEFT_MESH	左腕
COSMETICS.TYPE.LEG_RIGHT_MESH	右脚
COSMETICS.TYPE.LEG_LEFT_MESH	左脚
COSMETICS.TYPE.GRABBER_MESH	掴みモードの手
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	右まぶた
COSMETICS.TYPE.EYE_LID_LEFT_MESH	左まぶた
COSMETICS.TYPE.BODY_TOP_OVERLAY	胴体 上部 表面
COSMETICS.TYPE.EARS	耳
COSMETICS.TYPE.EYEWEAR	目の周り
COSMETICS.TYPE.BODY_TOP	胴体 上部 服
COSMETICS.TYPE.BODY_BOTTOM	胴体 下部 服
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	胴体 下部 表面
COSMETICS.TYPE.HEAD_TOP_OVERLAY	頭 上部 表面
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	頭 下部 表面
POPUP.DELETE_PRESET.HEADER	プリセットを削除
POPUP.DELETE_PRESET.BODY	このプリセットを本当に\n本気で完全に永遠に\n削除するんですか？
